33	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANTA CONCENTRADORA	RAURA								2	3	2	3	2	3	2	3	2	5	2	3	2	4	2	4	4	3	4	3	4	3	3	3	4	3	4	3	4	4				Con señalizaciones para ccualquier emergencia
34	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANTA CONCENTRADORA	RAURA								5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5				El uso de los tres puntos apoyo y el uso de extintor
35	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANTA CONCENTRADORA	RAURA								3	4	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				Estamos bien en casa
36	Sin personal a cargo	4. Operadores	TITULAR MINERO	MINA	RAURA								3	3	2	1	2	2	1	1	1	2	3	5	3	3	3	3	3	2	1	2	2	2	2	2	3	3	3	4	0	0				
37	Sin personal a cargo	1. Ingenieros	TITULAR MINERO	MINA	RAURA								4	4	5	4	5	4	4	5	4	5	5	5	5	5	5	5	5	4	4	3	3	4	4	5	4	4	4	4	4	4				
38	Sin personal a cargo	1. Ingenieros	TITULAR MINERO	MINA	RAURA								4	4	4	4	4	4	4	4	4	4	4	5	4	5	4	5	5	4	5	4	5	3	4	4	4	4	5	4	3	3				Me falta un botiquin
39	Con personal a cargo	3. Jefes de Área	TITULAR MINERO	MINA	RAURA								5	4	5	5	5	5	5	5	4	4	5	5	4	5	5	5	5	5	5	3	3	5	5	2	4	4	3	3	4	4				
40	Con personal a cargo	3. Jefes de Área	TITULAR MINERO	MINA	RAURA								5	4	4	4	4	4	4	4	5	4	4	5	4	5	4	5	5	4	5	4	5	3	4	4	4	4	5	4	4	4				
41	Sin personal a cargo	2. Asistentes	TITULAR MINERO	MINA	RAURA								5	4	4	4	4	4	4	4	5	4	4	5	4	5	4	5	5	4	5	4	5	3	4	4	4	4	5	4	4	4				Me falta un extintor
42	Con personal a cargo	2. Supervisores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4				
43	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	4	2	5	5	5	4	5	4	5	5	5	4	5	5	5	5	5	4	5	4	5	4	5	4	4	4	4	5	5				
44	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	4	5	5	4	4	4	4	5	5	5	5	4	4	4	4	5	5	4	4	4	4	4	4	4	4	4	4	5	5				
45	Con personal a cargo	2. Jefes de Zona	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5				
46	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								4	4	5	4	5	4	4	4	4	5	5	5	4	4	4	4	4	4	4	4	3	4	3	4	4	4	3	4	5	5				
47	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	4	5	4	4	5	4	5	3	5	5	5	3	4	5	5	3	4	5	3	3	3	5	3	5	5	3	5	0	0				
48	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								4	4	5	4	4	4	4	4	4	5	5	5	4	4	5	4	5	4	5	5	5	5	4	4	4	4	4	4	4	4				
49	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								4	4	5	3	4	3	4	4	4	5	5	5	4	4	4	4	5	4	4	4	3	4	4	4	4	4	3	4	5	5				
50	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	5	5	5	4	4	5	5	4	5	5	5	5	4	4	5	5	4	5	5	4	5	4	5	5	5	5	5	5	5				
51	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	5	4	4	5	5	5	5	5	5	5	4	5	5	4	5	5	5	5	5	4	5	3	5	5	5	5	5	4	4				Exposición a equipos moviles
52	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5				
53	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								4	5	5	4	3	4	4	4	4	5	5	5	4	5	4	5	4	4	4	4	4	4	4	4	4	5	4	5	5	5				
54	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	4	4				Coloco tapones en los tomacorrientes
55	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	4	5	4	4	5	3	4	4	4	4	4	4				Colocar protectores en las esquinas de los muebles
